station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LFBM,LFBM,2019-09-12 21:00,62.60,53.60,72.38,M,2.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,LFBM 122100Z AUTO VRB02KT CAVOK 17/12 Q1029 NOSIG,M
LFBM,LFBM,2019-09-12 21:30,60.80,53.60,77.14,M,1.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LFBM 122130Z AUTO VRB01KT CAVOK 16/12 Q1030 NOSIG,M
LFBM,LFBM,2019-09-12 22:00,60.80,53.60,77.14,340.00,1.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LFBM 122200Z AUTO 34001KT CAVOK 16/12 Q1030 NOSIG,M
LFBM,LFBM,2019-09-12 22:30,59.00,51.80,76.98,0.00,0.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,LFBM 122230Z AUTO 00000KT CAVOK 15/11 Q1029 NOSIG,M
LFBM,LFBM,2019-09-12 23:00,57.20,51.80,82.12,0.00,0.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,LFBM 122300Z AUTO 00000KT CAVOK 14/11 Q1029 NOSIG,M
LFBM,LFBM,2019-09-12 23:30,57.20,51.80,82.12,0.00,0.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,LFBM 122330Z AUTO 00000KT CAVOK 14/11 Q1029 BECMG 3000 BR,M
LFBO,LFBO,2019-09-12 00:00,60.80,46.40,59.01,310.00,3.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LFBO 120000Z AUTO 31003KT CAVOK 16/08 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 00:30,59.00,48.20,67.33,220.00,5.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,LFBO 120030Z AUTO 22005KT 180V280 CAVOK 15/09 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 01:00,55.40,48.20,76.66,170.00,3.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LFBO 120100Z AUTO 17003KT 120V200 CAVOK 13/09 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 01:30,55.40,48.20,76.66,200.00,5.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LFBO 120130Z AUTO 20005KT CAVOK 13/09 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 02:00,55.40,48.20,76.66,190.00,4.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LFBO 120200Z AUTO 19004KT CAVOK 13/09 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 02:30,55.40,50.00,81.99,200.00,5.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LFBO 120230Z AUTO 20005KT CAVOK 13/10 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 03:00,53.60,50.00,87.56,200.00,5.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LFBO 120300Z AUTO 20005KT CAVOK 12/10 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 03:30,53.60,50.00,87.56,190.00,5.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LFBO 120330Z AUTO 19005KT 170V240 CAVOK 12/10 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 04:00,53.60,48.20,81.87,190.00,4.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LFBO 120400Z AUTO 19004KT CAVOK 12/09 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 04:30,53.60,50.00,87.56,200.00,5.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LFBO 120430Z AUTO 20005KT 180V240 CAVOK 12/10 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 05:00,53.60,50.00,87.56,190.00,4.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LFBO 120500Z AUTO 19004KT 160V220 CAVOK 12/10 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 05:30,53.60,50.00,87.56,210.00,3.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LFBO 120530Z AUTO 21003KT CAVOK 12/10 Q1030 NOSIG,M
LFBO,LFBO,2019-09-12 06:00,53.60,50.00,87.56,200.00,3.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LFBO 120600Z AUTO 20003KT CAVOK 12/10 Q1030 NOSIG,M
LFBO,LFBO,2019-09-12 06:30,55.40,51.80,87.65,M,1.00,0.00,30.42,M,6.21,M,FEW,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,55.40,LFBO 120630Z AUTO VRB01KT 9999 FEW013 13/11 Q1030 NOSIG,M
LFBO,LFBO,2019-09-12 07:00,59.00,51.80,76.98,300.00,3.00,0.00,30.45,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,59.00,LFBO 120700Z AUTO 30003KT 260V330 9999 FEW015 15/11 Q1031 NOSIG,M
LFBO,LFBO,2019-09-12 07:30,60.80,51.80,72.20,300.00,7.00,0.00,30.45,M,6.21,M,FEW,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,60.80,LFBO 120730Z AUTO 30007KT 9999 FEW016 16/11 Q1031 NOSIG,M
LFBO,LFBO,2019-09-12 08:00,62.60,51.80,67.75,280.00,6.00,0.00,30.45,M,6.21,M,FEW,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,62.60,LFBO 120800Z AUTO 28006KT 250V320 9999 FEW013 17/11 Q1031 NOSIG,M
LFBO,LFBO,2019-09-12 08:30,66.20,53.60,63.82,260.00,5.00,0.00,30.45,M,6.21,M,FEW,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,66.20,LFBO 120830Z AUTO 26005KT 230V310 9999 FEW013 19/12 Q1031 NOSIG,M
LFBO,LFBO,2019-09-12 09:00,68.00,51.80,56.13,270.00,5.00,0.00,30.47,M,6.21,M,FEW,M,M,M,1400.00,M,M,M,M,M,M,M,M,M,M,68.00,LFBO 120900Z AUTO 27005KT 240V320 9999 FEW014 20/11 Q1032 NOSIG,M
LFBO,LFBO,2019-09-12 09:30,68.00,51.80,56.13,300.00,4.00,0.00,30.47,M,6.21,M,FEW,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,68.00,LFBO 120930Z AUTO 30004KT 230V350 9999 FEW008 20/11 Q1032 NOSIG,M
LFBO,LFBO,2019-09-12 10:00,71.60,53.60,53.03,M,4.00,0.00,30.47,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,LFBO 121000Z AUTO VRB04KT CAVOK 22/12 Q1032 NOSIG,M
LFBO,LFBO,2019-09-12 10:30,71.60,53.60,53.03,330.00,4.00,0.00,30.47,M,6.21,M,FEW,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,71.60,LFBO 121030Z AUTO 33004KT 280V030 9999 FEW013 22/12 Q1032 NOSIG,M
LFBO,LFBO,2019-09-12 11:00,75.20,51.80,43.97,320.00,6.00,0.00,30.45,M,6.21,M,FEW,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,75.20,LFBO 121100Z AUTO 32006KT 250V360 9999 FEW016 24/11 Q1031 NOSIG,M
LFBO,LFBO,2019-09-12 11:30,75.20,51.80,43.97,340.00,5.00,0.00,30.45,M,6.21,M,FEW,M,M,M,1400.00,M,M,M,M,M,M,M,M,M,M,75.20,LFBO 121130Z AUTO 34005KT 310V020 9999 FEW014 24/11 Q1031 NOSIG,M
LFBO,LFBO,2019-09-12 12:00,77.00,50.00,38.74,350.00,5.00,0.00,30.45,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,LFBO 121200Z AUTO 35005KT 300V040 CAVOK 25/10 Q1031 NOSIG,M
LFBO,LFBO,2019-09-12 12:30,78.80,48.20,34.13,M,3.00,0.00,30.42,M,6.21,M,FEW,M,M,M,1400.00,M,M,M,M,M,M,M,M,M,M,78.80,LFBO 121230Z AUTO VRB03KT 9999 FEW014 26/09 Q1030 NOSIG,M
LFBO,LFBO,2019-09-12 13:00,80.60,46.40,30.07,330.00,7.00,0.00,30.42,M,6.21,M,FEW,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,79.56,LFBO 121300Z AUTO 33007KT 300V030 9999 FEW011 27/08 Q1030 NOSIG,M
LFBO,LFBO,2019-09-12 13:30,80.60,46.40,30.07,310.00,5.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.56,LFBO 121330Z AUTO 31005KT 260V350 CAVOK 27/08 Q1030 NOSIG,M
LFBO,LFBO,2019-09-12 14:00,80.60,44.60,28.08,360.00,8.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.42,LFBO 121400Z AUTO 36008KT 330V050 CAVOK 27/07 Q1030 NOSIG,M
LFBO,LFBO,2019-09-12 14:30,80.60,44.60,28.08,360.00,7.00,0.00,30.39,M,6.21,M,FEW,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,79.42,LFBO 121430Z AUTO 36007KT 330V030 9999 FEW011 27/07 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 15:00,80.60,44.60,28.08,350.00,6.00,0.00,30.39,M,6.21,M,FEW,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,79.42,LFBO 121500Z AUTO 35006KT 290V060 9999 FEW012 27/07 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 15:30,82.40,44.60,26.49,330.00,6.00,0.00,30.39,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.50,LFBO 121530Z AUTO 33006KT 300V360 9999 NSC 28/07 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 16:00,82.40,44.60,26.49,330.00,5.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.50,LFBO 121600Z AUTO 33005KT 260V020 CAVOK 28/07 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 16:30,82.40,44.60,26.49,220.00,3.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.50,LFBO 121630Z AUTO 22003KT 180V270 CAVOK 28/07 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 17:00,80.60,46.40,30.07,M,2.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.56,LFBO 121700Z AUTO VRB02KT CAVOK 27/08 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 17:30,80.60,46.40,30.07,350.00,4.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,79.56,LFBO 121730Z AUTO 35004KT 310V020 CAVOK 27/08 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 18:00,77.00,46.40,33.85,290.00,5.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,LFBO 121800Z AUTO 29005KT CAVOK 25/08 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 18:30,77.00,48.20,36.22,280.00,3.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,LFBO 121830Z AUTO 28003KT 210V310 CAVOK 25/09 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 19:00,75.20,46.40,35.94,290.00,5.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,LFBO 121900Z AUTO 29005KT CAVOK 24/08 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 19:30,73.40,46.40,38.18,250.00,3.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,LFBO 121930Z AUTO 25003KT CAVOK 23/08 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 20:00,69.80,50.00,49.37,M,3.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,LFBO 122000Z AUTO VRB03KT CAVOK 21/10 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 20:30,68.00,50.00,52.51,M,1.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,LFBO 122030Z AUTO VRB01KT CAVOK 20/10 Q1030 NOSIG,M
LFBO,LFBO,2019-09-12 21:00,66.20,51.80,59.74,180.00,3.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,LFBO 122100Z AUTO 18003KT CAVOK 19/11 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 21:30,64.40,51.80,63.60,190.00,4.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,LFBO 122130Z AUTO 19004KT CAVOK 18/11 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 22:00,64.40,50.00,59.50,190.00,3.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,LFBO 122200Z AUTO 19003KT CAVOK 18/10 Q1029 NOSIG,M
LFBO,LFBO,2019-09-12 22:30,60.80,50.00,67.54,180.00,6.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LFBO 122230Z AUTO 18006KT CAVOK 16/10 Q1030 NOSIG,M
LFBO,LFBO,2019-09-12 23:00,60.80,51.80,72.20,180.00,6.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LFBO 122300Z AUTO 18006KT CAVOK 16/11 Q1030 NOSIG,M
LFBO,LFBO,2019-09-12 23:30,60.80,53.60,77.14,180.00,3.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LFBO 122330Z AUTO 18003KT 150V210 CAVOK 16/12 Q1030 NOSIG,M
LFBP,LFBP,2019-09-12 00:00,53.60,51.80,93.60,130.00,3.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LFBP 120000Z AUTO 13003KT CAVOK 12/11 Q1030 TEMPO 3000 BR,M
LFBP,LFBP,2019-09-12 00:30,51.80,50.00,93.55,50.00,1.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LFBP 120030Z AUTO 05001KT CAVOK 11/10 Q1030 TEMPO 3000 BR,M
LFBP,LFBP,2019-09-12 01:00,51.80,51.80,100.00,150.00,2.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LFBP 120100Z AUTO 15002KT CAVOK 11/11 Q1030 TEMPO 3000 BR,M
LFBP,LFBP,2019-09-12 01:30,51.80,51.80,100.00,110.00,2.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LFBP 120130Z AUTO 11002KT CAVOK 11/11 Q1030 TEMPO 3000 BR,M
LFBP,LFBP,2019-09-12 02:00,51.80,50.00,93.55,0.00,0.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LFBP 120200Z AUTO 00000KT CAVOK 11/10 Q1030 TEMPO 3000 BR,M
LFBP,LFBP,2019-09-12 02:30,51.80,50.00,93.55,110.00,3.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LFBP 120230Z AUTO 11003KT CAVOK 11/10 Q1030 TEMPO 3000 BR,M
LFBP,LFBP,2019-09-12 03:00,51.80,50.00,93.55,140.00,5.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LFBP 120300Z AUTO 14005KT CAVOK 11/10 Q1030 TEMPO 3000 BR,M
LFBP,LFBP,2019-09-12 03:30,50.00,50.00,100.00,M,2.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFBP 120330Z AUTO VRB02KT CAVOK 10/10 Q1030 TEMPO 3000 BR,M
LFBP,LFBP,2019-09-12 04:00,50.00,48.20,93.50,M,2.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFBP 120400Z AUTO VRB02KT CAVOK 10/09 Q1030 TEMPO 3000 BR,M
LFBP,LFBP,2019-09-12 04:30,50.00,50.00,100.00,110.00,3.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,49.27,LFBP 120430Z AUTO 11003KT CAVOK 10/10 Q1030 TEMPO 3000 BR,M
LFBP,LFBP,2019-09-12 05:00,50.00,50.00,100.00,130.00,2.00,0.00,30.45,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFBP 120500Z AUTO 13002KT CAVOK 10/10 Q1031 TEMPO 3000 BR,M
LFBP,LFBP,2019-09-12 05:30,50.00,48.20,93.50,M,2.00,0.00,30.45,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFBP 120530Z AUTO VRB02KT CAVOK 10/09 Q1031 TEMPO 3000 BR,M
LFBP,LFBP,2019-09-12 06:00,50.00,50.00,100.00,120.00,3.00,0.00,30.45,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,49.27,LFBP 120600Z AUTO 12003KT CAVOK 10/10 Q1031 NOSIG,M
LFBP,LFBP,2019-09-12 06:30,51.80,51.80,100.00,130.00,4.00,0.00,30.45,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LFBP 120630Z AUTO 13004KT 090V150 CAVOK 11/11 Q1031 NOSIG,M
LFBP,LFBP,2019-09-12 07:00,55.40,53.60,93.65,140.00,3.00,0.00,30.45,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LFBP 120700Z AUTO 14003KT CAVOK 13/12 Q1031 NOSIG,M
LFBP,LFBP,2019-09-12 07:30,59.00,55.40,87.83,M,2.00,0.00,30.47,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,LFBP 120730Z AUTO VRB02KT CAVOK 15/13 Q1032 NOSIG,M
LFBP,LFBP,2019-09-12 08:00,60.80,55.40,82.37,M,1.00,0.00,30.47,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LFBP 120800Z AUTO VRB01KT CAVOK 16/13 Q1032 NOSIG,M
LFBP,LFBP,2019-09-12 08:30,60.80,55.40,82.37,M,1.00,0.00,30.47,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LFBP 120830Z AUTO VRB01KT CAVOK 16/13 Q1032 NOSIG,M
LFBP,LFBP,2019-09-12 09:00,64.40,55.40,72.56,160.00,3.00,0.00,30.47,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,LFBP 120900Z AUTO 16003KT 100V190 CAVOK 18/13 Q1032 NOSIG,M
LFBP,LFBP,2019-09-12 09:30,64.40,55.40,72.56,M,2.00,0.00,30.47,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,LFBP 120930Z AUTO VRB02KT CAVOK 18/13 Q1032 NOSIG,M
LFBP,LFBP,2019-09-12 10:00,68.00,55.40,64.04,M,3.00,0.00,30.47,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,LFBP 121000Z AUTO VRB03KT CAVOK 20/13 Q1032 NOSIG,M
LFBP,LFBP,2019-09-12 10:30,69.80,55.40,60.21,M,2.00,0.00,30.47,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,LFBP 121030Z AUTO VRB02KT CAVOK 21/13 Q1032 NOSIG,M
LFBP,LFBP,2019-09-12 11:00,73.40,55.40,53.29,M,4.00,0.00,30.47,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,LFBP 121100Z AUTO VRB04KT CAVOK 23/13 Q1032 NOSIG,M
LFBP,LFBP,2019-09-12 11:30,73.40,53.60,49.90,80.00,5.00,0.00,30.45,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,LFBP 121130Z AUTO 08005KT 020V120 CAVOK 23/12 Q1031 NOSIG,M
LFBP,LFBP,2019-09-12 12:00,73.40,55.40,53.29,M,5.00,0.00,30.45,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,LFBP 121200Z AUTO VRB05KT CAVOK 23/13 Q1031 NOSIG,M
LFBP,LFBP,2019-09-12 12:30,75.20,53.60,46.98,30.00,6.00,0.00,30.45,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,LFBP 121230Z AUTO 03006KT 340V080 CAVOK 24/12 Q1031 NOSIG,M
LFBP,LFBP,2019-09-12 13:00,75.20,55.40,50.17,20.00,5.00,0.00,30.45,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,LFBP 121300Z AUTO 02005KT 300V080 CAVOK 24/13 Q1031 NOSIG,M
LFBP,LFBP,2019-09-12 13:30,75.20,57.20,53.55,20.00,5.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,LFBP 121330Z AUTO 02005KT 350V080 CAVOK 24/14 Q1030 NOSIG,M
LFBP,LFBP,2019-09-12 14:00,77.00,55.40,47.25,40.00,5.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,LFBP 121400Z AUTO 04005KT 340V100 CAVOK 25/13 Q1030 NOSIG,M
LFBP,LFBP,2019-09-12 14:30,77.00,57.20,50.43,20.00,3.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,LFBP 121430Z AUTO 02003KT 320V110 CAVOK 25/14 Q1030 NOSIG,M
LFBP,LFBP,2019-09-12 15:00,77.00,53.60,44.25,20.00,4.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,LFBP 121500Z AUTO 02004KT 330V070 CAVOK 25/12 Q1029 NOSIG,M
LFBP,LFBP,2019-09-12 15:30,77.00,53.60,44.25,M,3.00,0.00,30.39,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,LFBP 121530Z AUTO VRB03KT 9999 NSC 25/12 Q1029 NOSIG,M
LFBP,LFBP,2019-09-12 16:00,77.00,53.60,44.25,90.00,4.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,LFBP 121600Z AUTO 09004KT 040V150 CAVOK 25/12 Q1029 NOSIG,M
LFBP,LFBP,2019-09-12 16:30,77.00,53.60,44.25,40.00,6.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,LFBP 121630Z AUTO 04006KT 010V070 CAVOK 25/12 Q1029 NOSIG,M
LFBP,LFBP,2019-09-12 17:00,77.00,55.40,47.25,50.00,6.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,LFBP 121700Z AUTO 05006KT CAVOK 25/13 Q1029 NOSIG,M
LFBP,LFBP,2019-09-12 17:30,75.20,55.40,50.17,30.00,4.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,LFBP 121730Z AUTO 03004KT CAVOK 24/13 Q1029 NOSIG,M
LFBP,LFBP,2019-09-12 18:00,73.40,57.20,56.88,40.00,2.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,LFBP 121800Z AUTO 04002KT CAVOK 23/14 Q1029 NOSIG,M
LFBP,LFBP,2019-09-12 18:30,68.00,57.20,68.35,10.00,1.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,LFBP 121830Z AUTO 01001KT CAVOK 20/14 Q1029 NOSIG,M
LFBP,LFBP,2019-09-12 19:00,64.40,57.20,77.45,40.00,3.00,0.00,30.39,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,LFBP 121900Z AUTO 04003KT CAVOK 18/14 Q1029 NOSIG,M
LFBP,LFBP,2019-09-12 19:30,62.60,57.20,82.50,30.00,2.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,LFBP 121930Z AUTO 03002KT CAVOK 17/14 Q1030 NOSIG,M
LFBP,LFBP,2019-09-12 20:00,60.80,57.20,87.92,30.00,2.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LFBP 122000Z AUTO 03002KT CAVOK 16/14 Q1030 NOSIG,M
LFBP,LFBP,2019-09-12 20:30,60.80,57.20,87.92,180.00,3.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LFBP 122030Z AUTO 18003KT CAVOK 16/14 Q1030 NOSIG,M
LFBP,LFBP,2019-09-12 21:00,60.80,57.20,87.92,160.00,4.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LFBP 122100Z AUTO 16004KT 130V190 CAVOK 16/14 Q1030 NOSIG,M
LFBP,LFBP,2019-09-12 21:30,60.80,55.40,82.37,110.00,3.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LFBP 122130Z AUTO 11003KT CAVOK 16/13 Q1030 NOSIG,M
LFBP,LFBP,2019-09-12 22:00,59.00,55.40,87.83,120.00,3.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,LFBP 122200Z AUTO 12003KT CAVOK 15/13 Q1030 NOSIG,M
LFBP,LFBP,2019-09-12 22:30,59.00,55.40,87.83,140.00,2.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,LFBP 122230Z AUTO 14002KT CAVOK 15/13 Q1030 NOSIG,M
LFBP,LFBP,2019-09-12 23:00,57.20,53.60,87.74,60.00,1.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,LFBP 122300Z AUTO 06001KT CAVOK 14/12 Q1030 NOSIG,M
LFBP,LFBP,2019-09-12 23:30,55.40,53.60,93.65,M,2.00,0.00,30.42,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LFBP 122330Z AUTO VRB02KT CAVOK 13/12 Q1030 NOSIG,M
